"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","LandkreisID","Kreis","Bevölkerungsentwicklung","Bundesland","Inzidenz_log","Wintertemperatur","Sommertemperatur","Frühlingsniederschlag","Sommerniederschlag","Jahrestemperatur","Jahresniederschlag","Bevölkerung","Bevölkerung_Insg","Wintertemperatur_Vorjahr","Gesamt_Inzidenz"
2019,"3166","männlich",84,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.44265125649032,0.836666666666667,14.96,80.3,67.5666666666667,8.63,827.2,160991,328850,-0.69,200
2020,"3166","männlich",70,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.26267987704132,2.14666666666667,13.4266666666667,80.75,65.8333333333333,8.61,775.9,160991,328850,0.836666666666667,153
2021,"3166","männlich",60,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.11087386417331,-0.56,14.28,108.75,144.6,7.13,999.7,160991,328850,2.14666666666667,161
2022,"3166","männlich",76,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.34380542185368,0.81,15.5766666666667,37.55,46.9666666666667,8.48,671.3,160991,328850,-0.56,170
2011,"1684","männlich",89,"14626","Görlitz",-0.18,"Sachsen",4.49980967033027,0.726666666666667,16.32,41.15,91.4,9.62,617.9,122032,249681,2.14666666666667,200
2012,"1684","männlich",49,"14626","Görlitz",-0.18,"Sachsen",3.91202300542815,-1.13666666666667,16.63,83.1,103.2,9.12,802.5,122032,249681,0.726666666666667,125
2013,"1684","männlich",55,"14626","Görlitz",-0.18,"Sachsen",4.02535169073515,0.306666666666667,16.44,127.85,109.366666666667,8.71,699.3,122032,249681,-1.13666666666667,116
2014,"1684","männlich",45,"14626","Görlitz",-0.18,"Sachsen",3.8286413964891,2.41666666666667,16.37,95.75,101.666666666667,10.36,672.8,122032,249681,0.306666666666667,88
2015,"1684","männlich",19,"14626","Görlitz",-0.18,"Sachsen",2.99573227355399,3.02,16.3133333333333,45.65,44.4666666666667,10.32,515.7,122032,249681,2.41666666666667,45
2016,"1684","männlich",23,"14626","Görlitz",-0.18,"Sachsen",3.17805383034795,1.45333333333333,17.0866666666667,60.35,75.4333333333333,9.56,692.5,122032,249681,3.02,64
2017,"1684","männlich",42,"14626","Görlitz",-0.18,"Sachsen",3.76120011569356,0.256666666666667,17.0166666666667,45.5,64,9.57,683.4,122032,249681,1.45333333333333,74
2018,"1684","männlich",77,"14626","Görlitz",-0.18,"Sachsen",4.35670882668959,1.10666666666667,18.4666666666667,22.15,27.0666666666667,10.69,392,122032,249681,0.256666666666667,158
2019,"1684","männlich",79,"14626","Görlitz",-0.18,"Sachsen",4.38202663467388,2.44,17.4966666666667,63.8,57.3,10.76,524.5,122032,249681,1.10666666666667,180
2020,"1684","männlich",26,"14626","Görlitz",-0.18,"Sachsen",3.29583686600433,3.62666666666667,15.91,82.85,62.3333333333333,10.5,666.2,122032,249681,2.44,61
2021,"1684","männlich",20,"14626","Görlitz",-0.18,"Sachsen",3.04452243772342,0.423333333333333,16.9066666666667,72.95,101.9,9.17,676,122032,249681,3.62666666666667,42
2022,"1684","männlich",17,"14626","Görlitz",-0.18,"Sachsen",2.89037175789616,2.58333333333333,17.8066666666667,52.4,45.6333333333333,10.37,497.6,122032,249681,0.423333333333333,41
2023,"1684","männlich",20,"14626","Görlitz",-0.18,"Sachsen",3.04452243772342,3.2,17.0966666666667,41,40.5666666666667,10.79,761.1,122032,249681,2.58333333333333,41
2011,"2928","männlich",22,"14729","Leipzig",0.14,"Sachsen",3.13549421592915,2.29333333333333,16.62,41.3,71.3,10.22,613.6,127570,260429,3.62666666666667,52
2012,"2928","männlich",31,"14729","Leipzig",0.14,"Sachsen",3.46573590279973,0.51,16.8633333333333,64.75,70.3,9.85,553.7,127570,260429,2.29333333333333,64
2013,"2928","männlich",30,"14729","Leipzig",0.14,"Sachsen",3.43398720448515,1.44,16.63,135.05,105.166666666667,9.28,720.1,127570,260429,0.51,63
2014,"2928","männlich",23,"14729","Leipzig",0.14,"Sachsen",3.17805383034795,3.32333333333333,16.8466666666667,71.15,67.8,10.98,524.8,127570,260429,1.44,42
2015,"2928","männlich",27,"14729","Leipzig",0.14,"Sachsen",3.3322045101752,4.03333333333333,16.8233333333333,30.8,54.3666666666667,10.7,571.5,127570,260429,3.32333333333333,61
2016,"2928","männlich",29,"14729","Leipzig",0.14,"Sachsen",3.40119738166216,2.50333333333333,17.7133333333333,55.75,51.3666666666667,10.34,510.7,127570,260429,4.03333333333333,65
2017,"2928","männlich",21,"14729","Leipzig",0.14,"Sachsen",3.09104245335832,1.54333333333333,17.59,51.6,69.5333333333333,10.35,675,127570,260429,2.50333333333333,51
2018,"2928","männlich",29,"14729","Leipzig",0.14,"Sachsen",3.40119738166216,2.49333333333333,19.15,35.4,33.6,11.23,379.3,127570,260429,1.54333333333333,62
2019,"2928","männlich",33,"14729","Leipzig",0.14,"Sachsen",3.52636052461616,3.5,18.0866666666667,40.65,42.6333333333333,11.37,475.1,127570,260429,2.49333333333333,75
2020,"2928","männlich",14,"14729","Leipzig",0.14,"Sachsen",2.70805020110221,4.82,16.84,41.75,35.2333333333333,11.48,490.5,127570,260429,3.5,40
2021,"2928","männlich",21,"14729","Leipzig",0.14,"Sachsen",3.09104245335832,1.85,17.4666666666667,77.45,85.6333333333333,9.95,763,127570,260429,4.82,51
2022,"2928","männlich",15,"14729","Leipzig",0.14,"Sachsen",2.77258872223978,3.77333333333333,18.49,27.45,32.7666666666667,11.21,490.3,127570,260429,1.85,53
2023,"2928","männlich",11,"14729","Leipzig",0.14,"Sachsen",2.484906649788,4.28666666666667,17.6533333333333,31.9,37.6,11.44,758.1,127570,260429,3.77333333333333,21
2011,"3234","männlich",50,"14627","Meißen",-0.11,"Sachsen",3.93182563272433,1.83666666666667,15.8333333333333,35,98.4666666666667,9.66,716.5,118391,241343,4.82,138
2012,"3234","männlich",51,"14627","Meißen",-0.11,"Sachsen",3.95124371858143,0.203333333333333,16.61,63.35,70.7,9.45,617.4,118391,241343,1.83666666666667,115
2013,"3234","männlich",43,"14627","Meißen",-0.11,"Sachsen",3.78418963391826,0.993333333333333,16.2233333333333,163.3,117.633333333333,8.91,733,118391,241343,0.203333333333333,123
2014,"3234","männlich",55,"14627","Meißen",-0.11,"Sachsen",4.02535169073515,2.99,16.2133333333333,76.5,100.6,10.48,641.4,118391,241343,0.993333333333333,117
2015,"3234","männlich",49,"14627","Meißen",-0.11,"Sachsen",3.91202300542815,3.72666666666667,16.26,41.7,46.0666666666667,10.31,597.4,118391,241343,2.99,101
2016,"3234","männlich",67,"14627","Meißen",-0.11,"Sachsen",4.21950770517611,2.19333333333333,16.9233333333333,69.05,70.4333333333333,9.75,642.1,118391,241343,3.72666666666667,157
2018,"3234","männlich",51,"14627","Meißen",-0.11,"Sachsen",3.95124371858143,2.18666666666667,18.11,28.65,28.2333333333333,10.64,415.5,118391,241343,2.19333333333333,137
2019,"3234","männlich",54,"14627","Meißen",-0.11,"Sachsen",4.00733318523247,2.80666666666667,17.2133333333333,39.5,33.6666666666667,10.73,471.9,118391,241343,2.18666666666667,147
2020,"3234","männlich",50,"14627","Meißen",-0.11,"Sachsen",3.93182563272433,4.34,16.0566666666667,48.2,43.8666666666667,10.71,594.2,118391,241343,2.80666666666667,109
2021,"3234","männlich",49,"14627","Meißen",-0.11,"Sachsen",3.91202300542815,1.29666666666667,16.8466666666667,75.6,98.6333333333333,9.33,703.1,118391,241343,4.34,104
2022,"3234","männlich",51,"14627","Meißen",-0.11,"Sachsen",3.95124371858143,3.41,17.5066666666667,25.55,24.1,10.49,478.7,118391,241343,1.29666666666667,142
2011,"3904","männlich",41,"10042","Merzig-Wadern",-0.02,"Saarland",3.73766961828337,4.04,16.1033333333333,47.9,56.3666666666667,10.75,593.4,51552,104425,4.34,82
2012,"3904","männlich",26,"10042","Merzig-Wadern",-0.02,"Saarland",3.29583686600433,2.29,16.12,86,80.6666666666667,10.03,705.2,51552,104425,4.04,75
2013,"3904","männlich",43,"10042","Merzig-Wadern",-0.02,"Saarland",3.78418963391826,2.26666666666667,16.18,109.9,86.4666666666667,9.73,802.8,51552,104425,2.29,89
2014,"3904","männlich",18,"10042","Merzig-Wadern",-0.02,"Saarland",2.94443897916644,4.84666666666667,16.7166666666667,43.6,61.9666666666667,11.26,721.9,51552,104425,2.26666666666667,50
2015,"3904","männlich",12,"10042","Merzig-Wadern",-0.02,"Saarland",2.56494935746154,4.01,17.13,38.6,42.6,10.8,581.1,51552,104425,4.84666666666667,20
2016,"3904","männlich",16,"10042","Merzig-Wadern",-0.02,"Saarland",2.83321334405622,3.29333333333333,16.65,108.65,86.2333333333333,10.26,738.7,51552,104425,4.01,35
2017,"3904","männlich",14,"10042","Merzig-Wadern",-0.02,"Saarland",2.70805020110221,2.61,18,74.85,88.6,10.53,744.7,51552,104425,3.29333333333333,31
2019,"3904","männlich",24,"10042","Merzig-Wadern",-0.02,"Saarland",3.2188758248682,3.48333333333333,16.9733333333333,64.25,48.5,10.8,752.6,51552,104425,2.61,60
2020,"3904","männlich",22,"10042","Merzig-Wadern",-0.02,"Saarland",3.13549421592915,5.39333333333333,16.3566666666667,64.9,50.2333333333333,11.55,711.3,51552,104425,3.48333333333333,47
2022,"3904","männlich",10,"10042","Merzig-Wadern",-0.02,"Saarland",2.39789527279837,4.19333333333333,18.3933333333333,27.6,20.5,11.71,634.1,51552,104425,5.39333333333333,23
2023,"3904","männlich",12,"10042","Merzig-Wadern",-0.02,"Saarland",2.56494935746154,5.02666666666667,17.92,23.7,42.9,11.71,866.1,51552,104425,4.19333333333333,23
2011,"131","männlich",24,"14522","Mittelsachsen",-0.17,"Sachsen",3.2188758248682,1.15,15.58,46.4,112.9,9.51,750.2,149223,300639,5.39333333333333,50
2013,"131","männlich",35,"14522","Mittelsachsen",-0.17,"Sachsen",3.58351893845611,0.553333333333333,15.71,149.75,109.466666666667,8.47,742.8,149223,300639,1.15,62
2014,"131","männlich",43,"14522","Mittelsachsen",-0.17,"Sachsen",3.78418963391826,2.52,15.7533333333333,96.3,85.4666666666667,10.19,641.9,149223,300639,0.553333333333333,87
2015,"131","männlich",31,"14522","Mittelsachsen",-0.17,"Sachsen",3.46573590279973,3.12333333333333,15.7866666666667,43.7,53.5,9.91,626.4,149223,300639,2.52,71
2016,"131","männlich",68,"14522","Mittelsachsen",-0.17,"Sachsen",4.23410650459726,1.77333333333333,16.66,58.4,55.7666666666667,9.42,687.2,149223,300639,3.12333333333333,152
2017,"131","männlich",56,"14522","Mittelsachsen",-0.17,"Sachsen",4.04305126783455,0.59,16.7433333333333,37.45,50.7333333333333,9.5,709.1,149223,300639,1.77333333333333,128
2018,"131","männlich",58,"14522","Mittelsachsen",-0.17,"Sachsen",4.07753744390572,1.52666666666667,17.9166666666667,25.75,25.5666666666667,10.41,432.2,149223,300639,0.59,139
2019,"131","männlich",84,"14522","Mittelsachsen",-0.17,"Sachsen",4.44265125649032,2.63,16.85,49.3,41.1666666666667,10.46,629,149223,300639,1.52666666666667,200
2020,"131","männlich",70,"14522","Mittelsachsen",-0.17,"Sachsen",4.26267987704132,3.97666666666667,15.6033333333333,62.15,50.8,10.5,678.4,149223,300639,2.63,153
2021,"131","männlich",60,"14522","Mittelsachsen",-0.17,"Sachsen",4.11087386417331,0.93,16.21,99.55,97.0666666666667,8.91,896,149223,300639,3.97666666666667,161
2022,"131","männlich",76,"14522","Mittelsachsen",-0.17,"Sachsen",4.34380542185368,2.76666666666667,17.5633333333333,22.7,32.7333333333333,10.43,593.7,149223,300639,0.93,170
2011,"3545","männlich",51,"10043","Neunkirchen",-0.08,"Saarland",3.95124371858143,3.21,15.6533333333333,60.65,65.5333333333333,10.22,758.7,65064,132283,3.97666666666667,107
2012,"3545","männlich",6,"10043","Neunkirchen",-0.08,"Saarland",1.94591014905531,1.52666666666667,16.0333333333333,80.75,83.6666666666667,9.59,882.8,65064,132283,3.21,9
2013,"3545","männlich",42,"10043","Neunkirchen",-0.08,"Saarland",3.76120011569356,1.63,15.93,112,89,9.31,971.6,65064,132283,1.52666666666667,68
2014,"3545","männlich",25,"10043","Neunkirchen",-0.08,"Saarland",3.25809653802148,4.09666666666667,16.5633333333333,53.9,83.6333333333333,10.85,839.3,65064,132283,1.63,46
2015,"3545","männlich",15,"10043","Neunkirchen",-0.08,"Saarland",2.77258872223978,3.33,17.2166666666667,38.95,34.4,10.5,652.4,65064,132283,4.09666666666667,27
2016,"3545","männlich",12,"10043","Neunkirchen",-0.08,"Saarland",2.56494935746154,2.95333333333333,16.61,124.15,92.8333333333333,10.07,911,65064,132283,3.33,30
2017,"3545","männlich",12,"10043","Neunkirchen",-0.08,"Saarland",2.56494935746154,2.17333333333333,17.65,65.85,104.6,10.25,995.1,65064,132283,2.95333333333333,25
2018,"3545","männlich",20,"10043","Neunkirchen",-0.08,"Saarland",3.04452243772342,3.18,18.38,121.7,96.2,11.02,859.8,65064,132283,2.17333333333333,45
2019,"3545","männlich",17,"10043","Neunkirchen",-0.08,"Saarland",2.89037175789616,3.13666666666667,17.0066666666667,54.8,47.0666666666667,10.61,927.1,65064,132283,3.18,48
2020,"3545","männlich",5,"10043","Neunkirchen",-0.08,"Saarland",1.79175946922805,4.70666666666667,16.2433333333333,60.4,47.0666666666667,11.09,854.8,65064,132283,3.13666666666667,7
2021,"3545","männlich",20,"10043","Neunkirchen",-0.08,"Saarland",3.04452243772342,3.09666666666667,15.8766666666667,129.6,133.166666666667,9.58,957.5,65064,132283,4.70666666666667,49
2022,"3545","männlich",17,"10043","Neunkirchen",-0.08,"Saarland",2.89037175789616,3.68,18.1866666666667,42.85,30.9666666666667,11.3,908,65064,132283,3.09666666666667,24
2023,"3545","männlich",17,"10043","Neunkirchen",-0.08,"Saarland",2.89037175789616,4.65333333333333,17.8333333333333,22.9,51.7333333333333,11.4,1097.2,65064,132283,3.68,35
2011,"2641","männlich",12,"14730","Nordsachsen",-0.06,"Sachsen",2.56494935746154,2.00666666666667,16.7766666666667,35.9,79.9,10,559,99026,199824,4.70666666666667,26
2012,"2641","männlich",7,"14730","Nordsachsen",-0.06,"Sachsen",2.07944154167984,0.286666666666667,16.8766666666667,54.5,62.8666666666667,9.67,521.1,99026,199824,2.00666666666667,17
2014,"2641","männlich",14,"14730","Nordsachsen",-0.06,"Sachsen",2.70805020110221,3.00666666666667,16.8366666666667,60.85,61.3666666666667,10.78,435.1,99026,199824,0.286666666666667,32
2015,"2641","männlich",17,"14730","Nordsachsen",-0.06,"Sachsen",2.89037175789616,3.90666666666667,16.76,34.35,60.4333333333333,10.58,598,99026,199824,3.00666666666667,38
2017,"2641","männlich",16,"14730","Nordsachsen",-0.06,"Sachsen",2.83321334405622,1.12333333333333,17.56,43.5,56.6333333333333,10.12,560.7,99026,199824,3.90666666666667,37
2018,"2641","männlich",16,"14730","Nordsachsen",-0.06,"Sachsen",2.83321334405622,2.26333333333333,19.2,15.7,19.2666666666667,11.02,314.9,99026,199824,1.12333333333333,42
2020,"2641","männlich",10,"14730","Nordsachsen",-0.06,"Sachsen",2.39789527279837,4.57333333333333,16.7266666666667,37.35,34.7333333333333,11.17,524.8,99026,199824,2.26333333333333,26
2021,"2641","männlich",21,"14730","Nordsachsen",-0.06,"Sachsen",3.09104245335832,1.30333333333333,17.4666666666667,69.65,73,9.74,623.4,99026,199824,4.57333333333333,42
2022,"2641","männlich",21,"14730","Nordsachsen",-0.06,"Sachsen",3.09104245335832,3.7,18.3433333333333,42.4,36.2666666666667,10.97,491.1,99026,199824,1.30333333333333,40
2023,"2641","männlich",14,"14730","Nordsachsen",-0.06,"Sachsen",2.70805020110221,4.14666666666667,17.7266666666667,19.05,31.7666666666667,11.38,649.1,99026,199824,3.7,33
2011,"4336","männlich",32,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.49650756146648,2.95666666666667,15.7833333333333,66.55,69.9,10.49,685.9,162630,330848,4.57333333333333,116
2011,"4336","männlich",30,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.43398720448515,2.95666666666667,15.7833333333333,66.55,69.9,10.49,685.9,162630,330848,2.95666666666667,116
2012,"4336","männlich",23,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.17805383034795,1.31,15.9466666666667,102.75,95.4333333333333,9.78,844.4,162630,330848,2.95666666666667,143
2012,"4336","männlich",43,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.78418963391826,1.31,15.9466666666667,102.75,95.4333333333333,9.78,844.4,162630,330848,1.31,143
2013,"4336","männlich",27,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.3322045101752,1.33,15.84,120.85,94.4333333333333,9.21,973,162630,330848,1.31,111
2013,"4336","männlich",35,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.58351893845611,1.33,15.84,120.85,94.4333333333333,9.21,973,162630,330848,1.33,111
2014,"4336","männlich",16,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.83321334405622,4.01333333333333,16.5366666666667,52,78.7,10.99,772.2,162630,330848,1.33,50
2014,"4336","männlich",13,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.63905732961526,4.01333333333333,16.5366666666667,52,78.7,10.99,772.2,162630,330848,4.01333333333333,50
2015,"4336","männlich",10,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.39789527279837,3.26666666666667,17.08,41.85,34.1333333333333,10.55,618,162630,330848,4.01333333333333,59
2015,"4336","männlich",10,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.39789527279837,3.26666666666667,17.08,41.85,34.1333333333333,10.55,618,162630,330848,3.26666666666667,59
2016,"4336","männlich",20,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.04452243772342,2.54,16.2466666666667,113.15,90.0333333333333,9.84,854,162630,330848,3.26666666666667,68
2016,"4336","männlich",9,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.30258509299405,2.54,16.2466666666667,113.15,90.0333333333333,9.84,854,162630,330848,2.54,68
2017,"4336","männlich",20,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.04452243772342,1.79,17.5533333333333,88.55,94.2333333333333,10.17,960.2,162630,330848,2.54,59
2017,"4336","männlich",7,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.07944154167984,1.79,17.5533333333333,88.55,94.2333333333333,10.17,960.2,162630,330848,1.79,59
2018,"4336","männlich",32,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.49650756146648,2.70666666666667,18.41,105.65,89.3666666666667,11.12,893.1,162630,330848,1.79,117
2018,"4336","männlich",22,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.13549421592915,2.70666666666667,18.41,105.65,89.3666666666667,11.12,893.1,162630,330848,2.70666666666667,117
2019,"4336","männlich",13,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.63905732961526,3.35666666666667,16.9966666666667,48.85,49.5,10.72,919.1,162630,330848,2.70666666666667,74
2019,"4336","männlich",8,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.19722457733622,3.35666666666667,16.9966666666667,48.85,49.5,10.72,919.1,162630,330848,3.35666666666667,74
2020,"4336","männlich",25,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",3.25809653802148,4.48333333333333,16.4133333333333,58.25,45.8333333333333,11.24,841.1,162630,330848,3.35666666666667,105
2020,"4336","männlich",17,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.89037175789616,4.48333333333333,16.4133333333333,58.25,45.8333333333333,11.24,841.1,162630,330848,4.48333333333333,105
2021,"4336","männlich",19,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.99573227355399,3.11666666666667,15.8666666666667,129.1,143.7,9.7,1047.2,162630,330848,4.48333333333333,59
2021,"4336","männlich",8,"10041","Regionalverband Saarbrücken",-0.03,"Saarland",2.19722457733622,3.11666666666667,15.8666666666667,129.1,143.7,9.7,1047.2,162630,330848,3.11666666666667,59
